


央视频道,#genre#
文化生活,rtmp://csztv.2500sz.com/live/c03 
电影娱乐信息,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8 
电影娱乐信息,rtmp://csztv.2500sz.com/live/c04 
生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8 
生活资讯,rtmp://csztv.2500sz.com/live/c05
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8

卡通动漫,#genre#

金鹰卡通,http://1.31.14.70:54321/hls/20/index.m3u8
金鹰卡通,http://39.152.103.17:8089/tsfile/live/1051_1.m3u8
金鹰卡通,http://brucex.space:4022/rtp/239.3.1.51:9252
金鹰卡通,http://220.176.218.76:9000/rtp/239.252.219.69:5140


嘉佳卡通,http://tvtj1.jxwltx.com:8003/live1328.m3u8
嘉佳卡通,http://brucex.space:4022/rtp/239.3.1.147:9268
嘉佳卡通,http://220.176.218.76:9000/rtp/239.252.219.92:5140

卡酷少儿,http://39.152.103.17:8089/tsfile/live/1020_1.m3u8
卡酷少儿,http://brucex.space:4022/rtp/239.3.1.189:8000
卡酷少儿,http://220.176.218.76:9000/rtp/239.252.219.109:5140

炫动卡通,

优漫卡通,


江西少儿,http://220.176.218.76:9000/udp/239.252.219.113:5140

少儿动画,http://brucex.space:4022/rtp/239.3.1.199:9000

新动漫,http://39.152.103.17:8089/tsfile/live/1021_1.m3u8
新动漫,http://220.176.218.76:9000/rtp/239.252.220.132:5140

央视测试,#genre#
源1
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
口令3344,https://mpimg.cn/view.php/739fc0a0a7b0c5cad5504ab865cb7bbf.mp4
央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
